Date,RegionName,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,NoActive,ActiveCases
20/03/05,"Veneto,","92,","24,","116,","264,","380,","35,","17,","10,","407,","27,",8
20/03/06,"Abruzzo,","9,","0,","9,","0,","9,","1,","0,","0,","9,","0,",1
20/03/06,"Basilicata,","1,","0,","1,","2,","3,","2,","0,","0,","3,","0,",2
20/03/06,"P.A. Bolzano,","4,","0,","4,","0,","4,","3,","0,","0,","4,","0,",3
20/03/06,"Calabria,","2,","0,","2,","2,","4,","2,","0,","0,","4,","0,",2
20/03/06,"Campania,","12,","0,","12,","45,","57,","12,","0,","0,","57,","0,",12
20/03/06,"Emilia Romagna,","397,","53,","450,","366,","816,","158,","17,","37,","870,","54,",104
20/03/06,"Friuli Venezia Giulia,","4,","0,","4,","24,","28,","7,","3,","0,","31,","3,",4
20/03/06,"Lazio,","26,","8,","34,","16,","50,","9,","3,","1,","54,","4,",5
20/03/06,"Liguria,","12,","5,","17,","7,","24,","3,","5,","3,","32,","8,",-5
20/03/06,"Lombardia,","1622,","309,","1931,","77,","2008,","231,","469,","135,","2612,","604,",-373
20/03/06,"Marche,","73,","20,","93,","62,","155,","35,","0,","4,","159,","4,",31
20/03/06,"Molise,","3,","2,","5,","7,","12,","5,","0,","0,","12,","0,",5
20/03/06,"Piemonte,","57,","30,","87,","52,","139,","33,","0,","4,","143,","4,",29
20/03/06,"Puglia,","5,","1,","6,","9,","15,","3,","1,","1,","17,","2,",1
20/03/06,"Sardegna,","2,","0,","2,","3,","5,","3,","0,","0,","5,","0,",3
20/03/06,"Sicilia,","7,","0,","7,","15,","22,","6,","2,","0,","24,","2,",4
20/03/06,"Toscana,","35,","5,","40,","38,","78,","18,","1,","0,","79,","1,",17
20/03/06,"P.A. Trento,","4,","0,","4,","6,","10,","3,","0,","0,","10,","0,",3
20/03/06,"Umbria,","2,","2,","4,","12,","16,","7,","0,","0,","16,","0,",7
20/03/06,"Valle d'Aosta,","0,","0,","0,","7,","7,","5,","0,","0,","7,","0,",5
20/03/06,"Veneto,","117,","27,","144,","310,","454,","74,","22,","12,","488,","34,",40
20/03/07,"Abruzzo,","11,","0,","11,","0,","11,","2,","0,","0,","11,","0,",2
20/03/07,"Basilicata,","1,","0,","1,","2,","3,","0,","0,","0,","3,","0,",0
20/03/07,"P.A. Bolzano,","8,","0,","8,","1,","9,","5,","0,","0,","9,","0,",5
20/03/07,"Calabria,","2,","0,","2,","2,","4,","0,","0,","0,","4,","0,",0
20/03/07,"Campania,","16,","0,","16,","45,","61,","4,","0,","0,","61,","0,",4
20/03/07,"Emilia Romagna,","464,","64,","528,","409,","937,","121,","25,","48,","1010,","73,",48
20/03/07,"Friuli Venezia Giulia,","7,","1,","8,","31,","39,","11,","3,","0,","42,","3,",8
20/03/07,"Lazio,","43,","8,","51,","21,","72,","22,","3,","1,","76,","4,",18
20/03/07,"Liguria,","26,","6,","32,","10,","42,","18,","5,","4,","51,","9,",9
20/03/07,"Lombardia,","1661,","359,","2020,","722,","2742,","734,","524,","154,","3420,","678,",56
20/03/07,"Marche,","94,","36,","130,","71,","201,","46,","0,","6,","207,","6,",40
20/03/07,"Molise,","3,","2,","5,","9,","14,","2,","0,","0,","14,","0,",2
20/03/07,"Piemonte,","110,","38,","148,","54,","202,","63,","0,","5,","207,","5,",58
20/03/07,"Puglia,","9,","2,","11,","12,","23,","8,","1,","2,","26,","3,",5
20/03/07,"Sardegna,","2,","0,","2,","3,","5,","0,","0,","0,","5,","0,",0
20/03/07,"Sicilia,","8,","0,","8,","25,","33,","11,","2,","0,","35,","2,",9
20/03/07,"Toscana,","54,","7,","61,","51,","112,","34,","1,","0,","113,","1,",33
20/03/07,"P.A. Trento,","6,","1,","7,","7,","14,","4,","0,","0,","14,","0,",4
